CONT,ID,SEGMENT,DENSITY,X,Y,LAT,LONG
94,125,1,5,-0.27174583,0.223216789,0.348983436,-0.048112905
94,125,1,5,-0.271562508,0.22303812,0.348808899,-0.048311678
94,125,1,6,-0.27095185,0.222891477,0.348682833,-0.04895649
94,125,1,4,-0.270757858,0.222750634,0.348547084,-0.04916495
94,125,1,5,-0.270264717,0.222808965,0.34862467,-0.049678863
94,125,1,5,-0.269797349,0.222543494,0.348372547,-0.050178211
94,125,1,5,-0.269450315,0.222659772,0.348503471,-0.050536983
94,125,1,5,-0.268574335,0.222293508,0.348164106,-0.051467801
94,125,1,2,-0.26826795,0.222310996,0.34819318,-0.051787802
94,125,1,5,-0.267265637,0.221720561,0.347630806,-0.052859245
94,125,1,4,-0.266197007,0.221294985,0.347238102,-0.0539937
94,125,1,4,-0.2654141,0.220521502,0.346481798,-0.054842143
94,125,1,6,-0.264507492,0.220092365,0.346079408,-0.055806922
94,125,1,1,-0.263920489,0.219923196,0.3459291,-0.056427464
94,125,1,6,-0.263885499,0.219735609,0.345740047,-0.056471098
94,125,1,6,-0.26396976,0.219064769,0.345056431,-0.056408052
94,125,1,6,-0.264062943,0.218790911,0.344775253,-0.05632082
94,125,1,5,-0.26400843,0.218502166,0.344484356,-0.05638866
94,125,1,5,-0.264270804,0.217904456,0.343868628,-0.056136581
94,125,1,5,-0.264162776,0.217556391,0.343519581,-0.056262618
94,125,1,5,-0.264225906,0.216310664,0.342254232,-0.05624324
94,125,1,6,-0.264443821,0.215792376,0.341720927,-0.056034765
94,125,1,2,-0.264461649,0.215553861,0.341478516,-0.056025059
94,125,1,4,-0.26429936,0.214907064,0.340828866,-0.056218985
94,125,1,4,-0.263859921,0.214618655,0.340552521,-0.056689249
94,125,1,6,-0.263848571,0.214417319,0.340348905,-0.056708642
94,125,1,5,-0.264017624,0.21409801,0.340019222,-0.056543829
94,125,1,4,-0.263966458,0.213584216,0.339500496,-0.056616532
94,125,1,4,-0.263506463,0.213089224,0.339015667,-0.057115895
94,125,1,6,-0.263427824,0.212823196,0.338749019,-0.057208024
94,125,1,2,-0.263448885,0.212493698,0.338414493,-0.057198299
94,125,1,6,-0.263497552,0.212299173,0.3382157,-0.057154685
94,125,1,4,-0.263657925,0.212094305,0.338002402,-0.056994701
94,125,1,6,-0.264419682,0.211676358,0.33755153,-0.056214141
94,125,1,3,-0.264664687,0.211440965,0.337304261,-0.055966891
94,125,1,5,-0.26485152,0.210887514,0.336737053,-0.055792373
94,125,1,6,-0.264886018,0.210702002,0.336547966,-0.055763274
94,125,1,6,-0.26483779,0.210365074,0.336208591,-0.0558263
94,125,1,3,-0.264882407,0.210285272,0.336126178,-0.055782667
94,125,1,5,-0.265176915,0.210223989,0.336053436,-0.05547722
